date,time,DOY,TimeStamp,CH4
4/11/2017,21:30,101.895,4/11/2017 21:30,NaN
4/11/2017,22:00,101.916,4/11/2017 22:00,NaN
4/11/2017,22:30,101.937,4/11/2017 22:30,NaN
4/11/2017,23:00,101.958,4/11/2017 23:00,NaN
4/11/2017,23:30,101.979,4/11/2017 23:30,NaN
4/12/2017,0:00,102,4/12/2017 0:00,NaN
4/12/2017,0:30,102.02,4/12/2017 0:30,NaN
4/12/2017,1:00,102.041,4/12/2017 1:00,NaN
4/12/2017,1:30,102.062,4/12/2017 1:30,-22.46244867
4/12/2017,2:00,102.083,4/12/2017 2:00,34.17778649
4/12/2017,2:30,102.104,4/12/2017 2:30,74.37162963
4/12/2017,3:00,102.124,4/12/2017 3:00,-0.091970521
4/12/2017,3:30,102.145,4/12/2017 3:30,26.28842997
4/12/2017,4:00,102.166,4/12/2017 4:00,-12.40747903
4/12/2017,4:30,102.187,4/12/2017 4:30,12.28138033
4/12/2017,5:00,102.208,4/12/2017 5:00,NaN
4/12/2017,5:30,102.229,4/12/2017 5:30,14.18783884
4/12/2017,6:00,102.249,4/12/2017 6:00,26.78254688
4/12/2017,6:30,102.27,4/12/2017 6:30,25.53949556
4/12/2017,7:00,102.291,4/12/2017 7:00,2.786156616
4/12/2017,7:30,102.312,4/12/2017 7:30,0.451613181
4/12/2017,8:00,102.333,4/12/2017 8:00,13.00412242
4/12/2017,8:30,102.354,4/12/2017 8:30,12.89251244
4/12/2017,9:00,102.374,4/12/2017 9:00,NaN
4/12/2017,9:30,102.395,4/12/2017 9:30,-11.96073535
4/12/2017,10:00,102.416,4/12/2017 10:00,-12.37527314
4/12/2017,10:30,102.437,4/12/2017 10:30,NaN
4/12/2017,11:00,102.458,4/12/2017 11:00,72.51785286
4/12/2017,11:30,102.479,4/12/2017 11:30,-3.26171478
4/12/2017,12:00,102.499,4/12/2017 12:00,-4.975553893
4/12/2017,12:30,102.52,4/12/2017 12:30,-7.40868294
4/12/2017,13:00,102.541,4/12/2017 13:00,40.80037865
4/12/2017,13:30,102.562,4/12/2017 13:30,5.871428831
4/12/2017,14:00,102.583,4/12/2017 14:00,-22.39350952
4/12/2017,14:30,102.604,4/12/2017 14:30,18.37630266
4/12/2017,15:00,102.624,4/12/2017 15:00,NaN
4/12/2017,15:30,102.645,4/12/2017 15:30,NaN
4/12/2017,16:00,102.666,4/12/2017 16:00,NaN
4/12/2017,16:30,102.687,4/12/2017 16:30,NaN
4/12/2017,17:00,102.708,4/12/2017 17:00,NaN
4/12/2017,17:30,102.729,4/12/2017 17:30,NaN
4/12/2017,18:00,102.749,4/12/2017 18:00,NaN
4/12/2017,18:30,102.77,4/12/2017 18:30,40.69137423
4/12/2017,19:00,102.791,4/12/2017 19:00,NaN
4/12/2017,19:30,102.812,4/12/2017 19:30,18.24303652
4/12/2017,20:00,102.833,4/12/2017 20:00,-7.840441132
4/12/2017,20:30,102.854,4/12/2017 20:30,31.68906119
4/12/2017,21:00,102.874,4/12/2017 21:00,3.165394454
4/12/2017,21:30,102.895,4/12/2017 21:30,-0.004627559
4/12/2017,22:00,102.916,4/12/2017 22:00,9.551824252
4/12/2017,22:30,102.937,4/12/2017 22:30,7.916964373
4/12/2017,23:00,102.958,4/12/2017 23:00,13.3116518
4/12/2017,23:30,102.979,4/12/2017 23:30,12.11817013
4/13/2017,0:00,103,4/13/2017 0:00,8.637414488
4/13/2017,0:30,103.02,4/13/2017 0:30,10.69093741
4/13/2017,1:00,103.041,4/13/2017 1:00,-24.41237371
4/13/2017,1:30,103.062,4/13/2017 1:30,-3.972345323
4/13/2017,2:00,103.083,4/13/2017 2:00,NaN
4/13/2017,2:30,103.104,4/13/2017 2:30,8.855979284
4/13/2017,3:00,103.124,4/13/2017 3:00,NaN
4/13/2017,3:30,103.145,4/13/2017 3:30,7.358582291
4/13/2017,4:00,103.166,4/13/2017 4:00,24.23052282
4/13/2017,4:30,103.187,4/13/2017 4:30,41.54807795
4/13/2017,5:00,103.208,4/13/2017 5:00,12.13816952
4/13/2017,5:30,103.229,4/13/2017 5:30,NaN
4/13/2017,6:00,103.249,4/13/2017 6:00,9.123296373
4/13/2017,6:30,103.27,4/13/2017 6:30,2.401188406
4/13/2017,7:00,103.291,4/13/2017 7:00,NaN
4/13/2017,7:30,103.312,4/13/2017 7:30,4.151477807
4/13/2017,8:00,103.333,4/13/2017 8:00,10.43606948
4/13/2017,8:30,103.354,4/13/2017 8:30,NaN
4/13/2017,9:00,103.374,4/13/2017 9:00,4.347363807
4/13/2017,9:30,103.395,4/13/2017 9:30,-12.69516526
4/13/2017,10:00,103.416,4/13/2017 10:00,13.67212632
4/13/2017,10:30,103.437,4/13/2017 10:30,46.55590796
4/13/2017,11:00,103.458,4/13/2017 11:00,16.20618994
4/13/2017,11:30,103.479,4/13/2017 11:30,21.70417198
4/13/2017,12:00,103.499,4/13/2017 12:00,9.198269837
4/13/2017,12:30,103.52,4/13/2017 12:30,NaN
4/13/2017,13:00,103.541,4/13/2017 13:00,-22.5009188
4/13/2017,13:30,103.562,4/13/2017 13:30,3.050652417
4/13/2017,14:00,103.583,4/13/2017 14:00,-8.848538812
4/13/2017,14:30,103.604,4/13/2017 14:30,-59.80683874
4/13/2017,15:00,103.624,4/13/2017 15:00,NaN
4/13/2017,15:30,103.645,4/13/2017 15:30,NaN
4/13/2017,16:00,103.666,4/13/2017 16:00,-13.37124346
4/13/2017,16:30,103.687,4/13/2017 16:30,NaN
4/13/2017,17:00,103.708,4/13/2017 17:00,24.75932255
4/13/2017,17:30,103.729,4/13/2017 17:30,38.30733828
4/13/2017,18:00,103.749,4/13/2017 18:00,NaN
4/13/2017,18:30,103.77,4/13/2017 18:30,-35.44024081
4/13/2017,19:00,103.791,4/13/2017 19:00,-11.91779178
4/13/2017,19:30,103.812,4/13/2017 19:30,3.930784222
4/13/2017,20:00,103.833,4/13/2017 20:00,22.83563939
4/13/2017,20:30,103.854,4/13/2017 20:30,12.34844823
4/13/2017,21:00,103.874,4/13/2017 21:00,6.040806583
4/13/2017,21:30,103.895,4/13/2017 21:30,NaN
4/13/2017,22:00,103.916,4/13/2017 22:00,-67.25182923
4/13/2017,22:30,103.937,4/13/2017 22:30,7.316329307
4/13/2017,23:00,103.958,4/13/2017 23:00,9.564947248
4/13/2017,23:30,103.979,4/13/2017 23:30,16.75493844
4/14/2017,0:00,104,4/14/2017 0:00,8.573325585
4/14/2017,0:30,104.02,4/14/2017 0:30,5.09687392
4/14/2017,1:00,104.041,4/14/2017 1:00,3.48325469
